name,symbol,option,Value,nasdaq
Alliant Energy Corp,LNT,Yes,59987655.0,No
Evergy Inc.,EVRG,Yes,59833350.0,No
Cooper Companies Inc.,COO,Yes,59015520.0,No
Zions Bancorporation N.A.,ZION,Yes,57611886.0,No
Sealed Air Corporation,SEE,Yes,57004892.0,No
Teleflex Incorporated,TFX,Yes,56942847.0,No
Packaging Corporation of America,PKG,Yes,55586142.0,No
Fox Corporation Class B,FOX,Yes,55552748.0,No
Regency Centers Corporation,REG,Yes,55227305.0,No
DXC Technology Co.,DXC,Yes,54655504.0,No
Globe Life Inc.,GL,Yes,52306715.0,No
Brown & Brown Inc.,BRO,Yes,51032183.0,No
News Corporation Class A,NWSA,Yes,50971300.0,No
DISH Network Corporation Class A,DISH,Yes,49165590.0,No
Trimble Inc.,TRMB,Yes,48686400.0,No
DENTSPLY SIRONA Inc.,XRAY,Yes,47821312.0,No
Universal Health Services Inc. Class B,UHS,Yes,46506375.0,No
Federal Realty Investment Trust,FRT,Yes,44694173.0,No
Alaska Air Group Inc.,ALK,Yes,42192855.0,No
Broadridge Financial Solutions Inc.,BR,Yes,41230276.0,No
Loews Corporation,L,Yes,39347947.0,No
Assurant Inc.,AIZ,Yes,32294799.0,No
News Corporation Class B,NWS,Yes,12025923.0,No
